Visitor/Neutral;PTS;Home/Neutral;PTS
Charlotte Bobcats;89;Boston Celtics;100
Atlanta Hawks;58;Chicago Bulls;97
Minnesota Timberwolves;98;Dallas Mavericks;113
Los Angeles Clippers;99;Memphis Grizzlies;73
Oklahoma City Thunder;102;Phoenix Suns;90
Cleveland Cavaliers;118;Sacramento Kings;124
Miami Heat;97;Utah Jazz;104
Orlando Magic;91;Washington Wizards;120
Toronto Raptors;106;Brooklyn Nets;113
Indiana Pacers;103;Charlotte Bobcats;76
Portland Trail Blazers;111;Denver Nuggets;115
Los Angeles Clippers;117;Houston Rockets;109
Milwaukee Bucks;88;Los Angeles Lakers;104
New Orleans Hornets;111;Philadelphia 76ers;99
Brooklyn Nets;95;Atlanta Hawks;109
New Orleans Hornets;90;Boston Celtics;78
Houston Rockets;100;Dallas Mavericks;105
Miami Heat;92;Golden State Warriors;75
Denver Nuggets;97;Oklahoma City Thunder;117
Indiana Pacers;86;Orlando Magic;97
Cleveland Cavaliers;93;Portland Trail Blazers;88
Washington Wizards;94;Sacramento Kings;95
Memphis Grizzlies;82;San Antonio Spurs;103
Chicago Bulls;107;Toronto Raptors;105
New York Knicks;102;Detroit Pistons;87
Miami Heat;99;Los Angeles Lakers;90
Los Angeles Clippers;90;Minnesota Timberwolves;77
Milwaukee Bucks;98;Phoenix Suns;94
Chicago Bulls;100;Boston Celtics;99
Atlanta Hawks;89;Brooklyn Nets;94
Oklahoma City Thunder;117;Dallas Mavericks;114
Washington Wizards;112;Denver Nuggets;108
Houston Rockets;95;Indiana Pacers;105
Sacramento Kings;69;Memphis Grizzlies;85
Charlotte Bobcats;106;Orlando Magic;100
Toronto Raptors;101;Philadelphia 76ers;108
Golden State Warriors;88;San Antonio Spurs;95
San Antonio Spurs;98;Atlanta Hawks;93
Sacramento Kings;97;Charlotte Bobcats;93
